Condition,ROC_AUC,PR_AUC
Consolidation,0.9421076436001808,0.6579475340521508
Pleural Effusion,0.9366341942979712,0.8741863028208091
Edema,0.9060552616108172,0.7430559407750726
Cardiomegaly,0.8514351523742028,0.7055178068660708
Atelectasis,0.7617694805194805,0.5809587320292834
